lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
0000000,0000161,0000030,0001001,0003106,0002675,0003075,0000008,001024,000,000,00001024,01,001,001,016,016,1,0.99,050
0000000,0001006,0000421,0001005,0004148,0003737,0004097,0000030,001024,000,000,00001024,01,001,001,016,016,1,0.99,050
0000000,0000160,0000030,0001001,0003106,0002676,0003075,0000008,001024,000,001,00001024,01,001,001,016,016,1,0.99,050
0000000,0001007,0000421,0001005,0004148,0003737,0004098,0000030,001024,000,001,00001024,01,001,001,016,016,1,0.99,050
0000000,0000171,0000131,0001002,0003105,0002675,0003056,0000008,001024,000,000,00000128,01,001,001,016,016,1,0.99,050
0000000,0001010,0000461,0001005,0004127,0003727,0004068,0000030,001024,000,000,00000128,01,001,001,016,016,1,0.99,050
0000000,0000171,0000140,0001002,0003106,0002675,0003056,0000008,001024,000,001,00000128,01,001,001,016,016,1,0.99,050
0000000,0001010,0000481,0001005,0004128,0003737,0004078,0000030,001024,000,001,00000128,01,001,001,016,016,1,0.99,050
0000000,0001004,0000151,0001001,0002966,0002624,0002775,0000008,001024,000,000,00000008,01,001,001,016,016,1,0.99,050
0000000,0001053,0001082,0001004,0003898,0003587,0003747,0000059,001024,000,000,00000008,01,001,001,016,016,1,0.99,050
0000000,0001004,0000151,0001001,0002966,0002625,0002776,0000008,001024,000,001,00000008,01,001,001,016,016,1,0.99,050
0000000,0001052,0001122,0001004,0003897,0003587,0003737,0000058,001024,000,001,00000008,01,001,001,016,016,1,0.99,050
0000000,0000170,0000030,0001003,0005170,0004969,0005139,0000032,001024,001,000,00001024,01,002,001,016,016,0,0.99,050
0000000,0001009,0000301,0001006,0006733,0006502,0006673,0000058,001024,001,000,00001024,01,002,001,016,016,0,0.99,050
0000000,0000170,0000030,0001003,0005170,0004969,0005139,0000032,001024,001,001,00001024,01,002,001,016,016,0,0.99,050
0000000,0001009,0000301,0001006,0006753,0006512,0006692,0000058,001024,001,001,00001024,01,002,001,016,016,0,0.99,050
0000000,0000170,0000030,0001003,0005170,0004969,0005139,0000032,001024,001,000,00000128,01,002,001,016,016,0,0.99,050
0000000,0001010,0000301,0001006,0006763,0006522,0006693,0000058,001024,001,000,00000128,01,002,001,016,016,0,0.99,050
0000000,0000170,0000030,0001003,0005170,0004969,0005140,0000032,001024,001,001,00000128,01,002,001,016,016,0,0.99,050
0000000,0001010,0000301,0001006,0006733,0006512,0006673,0000058,001024,001,001,00000128,01,002,001,016,016,0,0.99,050
0000000,0000190,0000130,0001004,0005189,0005019,0005139,0000032,001024,001,000,00000008,01,002,001,016,016,0,0.99,050
0000000,0001031,0000501,0001005,0006803,0006642,0006712,0000067,001024,001,000,00000008,01,002,001,016,016,0,0.99,050
0000000,0000190,0000131,0001004,0005189,0005019,0005139,0000032,001024,001,001,00000008,01,002,001,016,016,0,0.99,050
0000000,0001031,0000501,0001005,0006833,0006632,0006742,0000068,001024,001,001,00000008,01,002,001,016,016,0,0.99,050
